system:index,20150101,20150201,20150301,20150401,20150501,20150601,20150701,20150801,20150901,20151001,20151101,20151201,COUNTRY,CaCO3,Clay,Coarse,EC,FID_LUCAS_,FID_gadm40,ID_0,K,LC,LC0_Desc,LC1_Desc,LU,LU1_Desc,N,NUTS_0,NUTS_1,NUTS_2,NUTS_3,OC,P,Point_ID,Sand,Silt,pH_CaCl2,pH_H20,.geo
000000000000000000cb,13.0,6.0,531.0,700.0,946.0,805.0,315.0,487.0,358.0,282.0,191.0,133.0,Germany,23,0,0,33.8,10309,0,DEU,171.9,A22,Artificial land,Non built-up linear features,U312,Road transport,5.6,DE,DE2,DE27,DE277,56.5,43.7,43582826,0,0,7.2,7.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005af,178.0,136.0,449.0,557.0,687.0,429.0,923.0,922.0,584.0,252.0,219.0,283.0,Germany,2,0,0,23.0,9535,0,DEU,155.3,A22,Artificial land,Non built-up linear features,U318,Protection infrastructures,2.8,DE,DE5,DE50,DE501,24.9,61.1,42403326,0,0,5.2,5.53,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000020c,42.0,5.0,459.0,642.0,647.0,688.0,488.0,523.0,432.0,275.0,202.0,191.0,Germany,3,0,0,26.8,10065,0,DEU,306.7,A30,Artificial land,Other artificial areas,U319,"Electricity, gas and thermal power distribution",1.8,DE,DE2,DE26,DE265,16.6,37.7,43203016,0,0,6.7,6.82,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000067f,211.0,141.0,427.0,514.0,679.0,589.0,939.0,664.0,590.0,283.0,187.0,308.0,Germany,40,0,0,21.8,10501,0,DEU,120.3,A30,Artificial land,Other artificial areas,U319,"Electricity, gas and thermal power distribution",3.2,DE,DEF,DEF0,DEF08,35.1,62.6,43843470,0,0,7.0,7.21,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d8,79.0,32.0,540.0,747.0,947.0,908.0,333.0,622.0,365.0,283.0,205.0,121.0,Germany,2,0,0,24.8,9829,0,DEU,382.7,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),2.9,DE,DE1,DE11,DE113,23.9,39.4,42862834,0,0,7.0,7.31,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000100,90.0,9.0,531.0,721.0,883.0,826.0,269.0,577.0,407.0,268.0,223.0,145.0,Germany,5,0,0,18.27,9529,0,DEU,200.9,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.2,DE,DE1,DE11,DE112,22.8,45.2,42402858,0,0,7.5,7.96,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010e,152.0,59.0,471.0,681.0,773.0,719.0,249.0,503.0,395.0,259.0,220.0,145.0,Germany,2,0,0,18.39,9571,0,DEU,203.2,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.7,DE,DE1,DE11,DE115,12.6,40.8,42462870,0,0,6.9,7.3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010f,152.0,66.0,465.0,659.0,757.0,722.0,261.0,514.0,353.0,275.0,217.0,146.0,Germany,18,0,0,21.5,9693,0,DEU,456.1,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),2.1,DE,DE1,DE11,DE115,17.8,29.8,42642870,0,0,7.4,7.89,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000145,79.0,12.0,521.0,695.0,807.0,785.0,267.0,501.0,382.0,288.0,221.0,167.0,Germany,1,0,0,15.88,9952,0,DEU,274.5,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.8,DE,DE1,DE11,DE11A,14.4,79.5,43042898,0,0,6.9,6.97,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014e,151.0,60.0,493.0,675.0,716.0,730.0,277.0,484.0,408.0,271.0,226.0,152.0,Germany,1,0,0,27.7,9790,0,DEU,222.4,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.6,DE,DE1,DE11,DE118,12.0,74.6,42782902,0,0,6.4,6.46,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014f,97.0,18.0,526.0,708.0,837.0,802.0,285.0,512.0,408.0,285.0,225.0,171.0,Germany,2,0,0,20.7,9894,0,DEU,304.4,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.5,DE,DE1,DE11,DE119,11.7,39.3,42962902,0,0,6.8,6.85,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156,134.0,40.0,506.0,688.0,747.0,744.0,278.0,479.0,406.0,276.0,233.0,161.0,Germany,1,0,0,11.8,9811,0,DEU,278.3,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),2.3,DE,DE1,DE11,DE119,18.9,68.5,42822906,0,0,6.9,6.91,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000160,141.0,41.0,496.0,683.0,703.0,715.0,282.0,478.0,424.0,273.0,234.0,155.0,Germany,93,0,0,23.0,9747,0,DEU,341.6,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.8,DE,DE1,DE11,DE118,14.5,174.8,42722910,0,0,7.6,7.97,"{""type"":""MultiPoint"",""coordinates"":[]}"
