system:index,20150101,20150201,20150301,20150401,20150501,20150601,20150701,20150801,20150901,20151001,20151101,20151201,COUNTRY,CaCO3,Clay,Coarse,EC,FID_LUCAS_,FID_gadm40,ID_0,K,LC,LC0_Desc,LC1_Desc,LU,LU1_Desc,N,NUTS_0,NUTS_1,NUTS_2,NUTS_3,OC,P,Point_ID,Sand,Silt,pH_CaCl2,pH_H20,.geo
000000000000000000cb,72.0,16.0,33.0,46.0,92.0,76.0,29.0,49.0,36.0,46.0,68.0,26.0,Germany,23,0,0,33.8,10309,0,DEU,171.9,A22,Artificial land,Non built-up linear features,U312,Road transport,5.6,DE,DE2,DE27,DE277,56.5,43.7,43582826,0,0,7.2,7.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005af,79.0,26.0,54.0,26.0,45.0,36.0,92.0,95.0,61.0,41.0,109.0,39.0,Germany,2,0,0,23.0,9535,0,DEU,155.3,A22,Artificial land,Non built-up linear features,U318,Protection infrastructures,2.8,DE,DE5,DE50,DE501,24.9,61.1,42403326,0,0,5.2,5.53,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000020c,118.0,20.0,53.0,40.0,31.0,62.0,46.0,52.0,43.0,56.0,111.0,50.0,Germany,3,0,0,26.8,10065,0,DEU,306.7,A30,Artificial land,Other artificial areas,U319,"Electricity, gas and thermal power distribution",1.8,DE,DE2,DE26,DE265,16.6,37.7,43203016,0,0,6.7,6.82,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000067f,94.0,23.0,56.0,27.0,50.0,31.0,89.0,64.0,62.0,45.0,126.0,56.0,Germany,40,0,0,21.8,10501,0,DEU,120.3,A30,Artificial land,Other artificial areas,U319,"Electricity, gas and thermal power distribution",3.2,DE,DEF,DEF0,DEF08,35.1,62.6,43843470,0,0,7.0,7.21,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d8,97.0,23.0,43.0,61.0,89.0,82.0,30.0,63.0,37.0,40.0,88.0,33.0,Germany,2,0,0,24.8,9829,0,DEU,382.7,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),2.9,DE,DE1,DE11,DE113,23.9,39.4,42862834,0,0,7.0,7.31,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000100,87.0,25.0,35.0,56.0,73.0,73.0,23.0,57.0,41.0,28.0,83.0,29.0,Germany,5,0,0,18.27,9529,0,DEU,200.9,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.2,DE,DE1,DE11,DE112,22.8,45.2,42402858,0,0,7.5,7.96,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010e,77.0,22.0,30.0,47.0,64.0,69.0,22.0,51.0,40.0,27.0,79.0,26.0,Germany,2,0,0,18.39,9571,0,DEU,203.2,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.7,DE,DE1,DE11,DE115,12.6,40.8,42462870,0,0,6.9,7.3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010f,77.0,19.0,29.0,44.0,67.0,71.0,24.0,52.0,36.0,29.0,77.0,26.0,Germany,18,0,0,21.5,9693,0,DEU,456.1,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),2.1,DE,DE1,DE11,DE115,17.8,29.8,42642870,0,0,7.4,7.89,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000145,129.0,26.0,48.0,49.0,64.0,76.0,25.0,51.0,39.0,48.0,111.0,42.0,Germany,1,0,0,15.88,9952,0,DEU,274.5,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.8,DE,DE1,DE11,DE11A,14.4,79.5,43042898,0,0,6.9,6.97,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014e,106.0,25.0,37.0,46.0,56.0,70.0,25.0,48.0,41.0,37.0,93.0,35.0,Germany,1,0,0,27.7,9790,0,DEU,222.4,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.6,DE,DE1,DE11,DE118,12.0,74.6,42782902,0,0,6.4,6.46,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014f,129.0,27.0,48.0,52.0,64.0,77.0,26.0,51.0,41.0,47.0,113.0,42.0,Germany,2,0,0,20.7,9894,0,DEU,304.4,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.5,DE,DE1,DE11,DE119,11.7,39.3,42962902,0,0,6.8,6.85,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156,110.0,25.0,41.0,47.0,56.0,71.0,25.0,48.0,41.0,41.0,98.0,37.0,Germany,1,0,0,11.8,9811,0,DEU,278.3,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),2.3,DE,DE1,DE11,DE119,18.9,68.5,42822906,0,0,6.9,6.91,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000160,117.0,27.0,39.0,44.0,49.0,67.0,25.0,48.0,43.0,38.0,96.0,38.0,Germany,93,0,0,23.0,9747,0,DEU,341.6,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.8,DE,DE1,DE11,DE118,14.5,174.8,42722910,0,0,7.6,7.97,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000168,114.0,23.0,42.0,42.0,53.0,67.0,25.0,47.0,37.0,43.0,99.0,39.0,Germany,1,0,0,9.86,9907,0,DEU,244.6,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.4,DE,DE1,DE11,DE119,11.2,42.0,42982918,0,0,6.6,6.62,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017a,114.0,24.0,43.0,41.0,47.0,65.0,26.0,45.0,38.0,41.0,98.0,39.0,Germany,79,0,0,15.43,9874,0,DEU,440.7,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),2.6,DE,DE1,DE11,DE11B,24.6,26.3,42922926,0,0,7.5,7.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017b,91.0,18.0,38.0,40.0,52.0,65.0,25.0,43.0,32.0,41.0,85.0,33.0,Germany,3,0,0,24.2,10064,0,DEU,482.7,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),2.2,DE,DE1,DE11,DE11B,18.0,67.9,43202926,0,0,6.8,6.95,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000019d,119.0,24.0,44.0,42.0,41.0,64.0,28.0,46.0,41.0,41.0,100.0,42.0,Germany,169,0,0,21.9,9861,0,DEU,412.4,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),2.2,DE,DE1,DE11,DE11B,23.2,24.5,42902946,0,0,7.5,7.8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bc,121.0,35.0,43.0,75.0,88.0,79.0,27.0,55.0,39.0,32.0,88.0,31.0,Germany,8,0,0,20.3,9458,0,DEU,136.6,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),2.6,DE,DE1,DE12,DE12C,22.7,19.0,42282820,0,0,7.3,7.64,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010c,136.0,40.0,46.0,71.0,72.0,80.0,27.0,57.0,55.0,36.0,110.0,39.0,Germany,2,0,0,12.39,9369,0,DEU,221.7,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.4,DE,DE1,DE12,DE123,11.2,42.7,42142870,0,0,6.2,6.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
