system:index,20150101,20150201,20150301,20150401,20150501,20150601,20150701,20150801,20150901,20151001,20151101,20151201,COUNTRY,CaCO3,Clay,Coarse,EC,FID_LUCAS_,FID_gadm40,ID_0,K,LC,LC0_Desc,LC1_Desc,LU,LU1_Desc,N,NUTS_0,NUTS_1,NUTS_2,NUTS_3,OC,P,Point_ID,Sand,Silt,pH_CaCl2,pH_H20,.geo
000000000000000000cb,405.0,250.0,344.0,302.0,247.0,245.0,253.0,208.0,252.0,164.0,384.0,282.0,Germany,23,0,0,33.8,10309,0,DEU,171.9,A22,Artificial land,Non built-up linear features,U312,Road transport,5.6,DE,DE2,DE27,DE277,56.5,43.7,43582826,0,0,7.2,7.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005af,483.0,329.0,421.0,323.0,375.0,311.0,366.0,248.0,311.0,208.0,453.0,489.0,Germany,2,0,0,23.0,9535,0,DEU,155.3,A22,Artificial land,Non built-up linear features,U318,Protection infrastructures,2.8,DE,DE5,DE50,DE501,24.9,61.1,42403326,0,0,5.2,5.53,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000020c,433.0,266.0,362.0,309.0,305.0,292.0,323.0,258.0,302.0,200.0,436.0,346.0,Germany,3,0,0,26.8,10065,0,DEU,306.7,A30,Artificial land,Other artificial areas,U319,"Electricity, gas and thermal power distribution",1.8,DE,DE2,DE26,DE265,16.6,37.7,43203016,0,0,6.7,6.82,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000067f,739.0,622.0,623.0,546.0,573.0,522.0,563.0,490.0,555.0,507.0,684.0,771.0,Germany,40,0,0,21.8,10501,0,DEU,120.3,A30,Artificial land,Other artificial areas,U319,"Electricity, gas and thermal power distribution",3.2,DE,DEF,DEF0,DEF08,35.1,62.6,43843470,0,0,7.0,7.21,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d8,343.0,218.0,294.0,262.0,230.0,220.0,234.0,192.0,233.0,129.0,340.0,237.0,Germany,2,0,0,24.8,9829,0,DEU,382.7,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),2.9,DE,DE1,DE11,DE113,23.9,39.4,42862834,0,0,7.0,7.31,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000100,364.0,239.0,318.0,273.0,257.0,244.0,262.0,218.0,266.0,151.0,365.0,272.0,Germany,5,0,0,18.27,9529,0,DEU,200.9,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.2,DE,DE1,DE11,DE112,22.8,45.2,42402858,0,0,7.5,7.96,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010e,329.0,202.0,286.0,247.0,229.0,221.0,239.0,193.0,233.0,111.0,329.0,234.0,Germany,2,0,0,18.39,9571,0,DEU,203.2,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.7,DE,DE1,DE11,DE115,12.6,40.8,42462870,0,0,6.9,7.3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010f,322.0,192.0,278.0,243.0,221.0,214.0,231.0,185.0,222.0,104.0,324.0,223.0,Germany,18,0,0,21.5,9693,0,DEU,456.1,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),2.1,DE,DE1,DE11,DE115,17.8,29.8,42642870,0,0,7.4,7.89,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000145,408.0,252.0,340.0,289.0,259.0,250.0,270.0,218.0,265.0,164.0,398.0,300.0,Germany,1,0,0,15.88,9952,0,DEU,274.5,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.8,DE,DE1,DE11,DE11A,14.4,79.5,43042898,0,0,6.9,6.97,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014e,339.0,198.0,291.0,247.0,226.0,219.0,239.0,190.0,227.0,111.0,338.0,240.0,Germany,1,0,0,27.7,9790,0,DEU,222.4,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.6,DE,DE1,DE11,DE118,12.0,74.6,42782902,0,0,6.4,6.46,"{""type"":""MultiPoint"",""coordinates"":[]}"
