system:index,20150101,20150201,20150301,20150401,20150501,20150601,20150701,20150801,20150901,20151001,20151101,20151201,COUNTRY,CaCO3,Clay,Coarse,EC,FID_LUCAS_,FID_gadm40,ID_0,K,LC,LC0_Desc,LC1_Desc,LU,LU1_Desc,N,NUTS_0,NUTS_1,NUTS_2,NUTS_3,OC,P,Point_ID,Sand,Silt,pH_CaCl2,pH_H20,.geo
000000000000000000cb,567.0,567.0,567.0,305.0,233.0,154.0,118.0,96.0,81.0,238.0,567.0,567.0,Germany,23,0,0,33.8,10309,0,DEU,171.9,A22,Artificial land,Non built-up linear features,U312,Road transport,5.6,DE,DE2,DE27,DE277,56.5,43.7,43582826,0,0,7.2,7.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005af,873.0,873.0,873.0,560.0,302.0,214.0,167.0,145.0,142.0,282.0,873.0,873.0,Germany,2,0,0,23.0,9535,0,DEU,155.3,A22,Artificial land,Non built-up linear features,U318,Protection infrastructures,2.8,DE,DE5,DE50,DE501,24.9,61.1,42403326,0,0,5.2,5.53,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000020c,927.0,927.0,927.0,676.0,326.0,229.0,179.0,148.0,126.0,380.0,927.0,927.0,Germany,3,0,0,26.8,10065,0,DEU,306.7,A30,Artificial land,Other artificial areas,U319,"Electricity, gas and thermal power distribution",1.8,DE,DE2,DE26,DE265,16.6,37.7,43203016,0,0,6.7,6.82,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000067f,1112.0,1112.0,1112.0,859.0,652.0,363.0,267.0,210.0,205.0,346.0,1112.0,1112.0,Germany,40,0,0,21.8,10501,0,DEU,120.3,A30,Artificial land,Other artificial areas,U319,"Electricity, gas and thermal power distribution",3.2,DE,DEF,DEF0,DEF08,35.1,62.6,43843470,0,0,7.0,7.21,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d8,588.0,588.0,588.0,421.0,316.0,185.0,135.0,107.0,89.0,190.0,588.0,588.0,Germany,2,0,0,24.8,9829,0,DEU,382.7,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),2.9,DE,DE1,DE11,DE113,23.9,39.4,42862834,0,0,7.0,7.31,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000100,722.0,722.0,722.0,533.0,340.0,212.0,158.0,127.0,107.0,102.0,671.0,722.0,Germany,5,0,0,18.27,9529,0,DEU,200.9,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.2,DE,DE1,DE11,DE112,22.8,45.2,42402858,0,0,7.5,7.96,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010e,772.0,772.0,629.0,400.0,238.0,175.0,140.0,116.0,100.0,98.0,625.0,730.0,Germany,2,0,0,18.39,9571,0,DEU,203.2,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.7,DE,DE1,DE11,DE115,12.6,40.8,42462870,0,0,6.9,7.3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010f,728.0,728.0,571.0,328.0,209.0,157.0,126.0,106.0,92.0,93.0,613.0,714.0,Germany,18,0,0,21.5,9693,0,DEU,456.1,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),2.1,DE,DE1,DE11,DE115,17.8,29.8,42642870,0,0,7.4,7.89,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000145,648.0,648.0,648.0,422.0,220.0,157.0,123.0,102.0,87.0,250.0,648.0,648.0,Germany,1,0,0,15.88,9952,0,DEU,274.5,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.8,DE,DE1,DE11,DE11A,14.4,79.5,43042898,0,0,6.9,6.97,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014e,759.0,759.0,669.0,428.0,244.0,177.0,140.0,116.0,100.0,183.0,759.0,759.0,Germany,1,0,0,27.7,9790,0,DEU,222.4,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.6,DE,DE1,DE11,DE118,12.0,74.6,42782902,0,0,6.4,6.46,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014f,682.0,682.0,682.0,472.0,241.0,169.0,132.0,109.0,93.0,258.0,682.0,682.0,Germany,2,0,0,20.7,9894,0,DEU,304.4,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.5,DE,DE1,DE11,DE119,11.7,39.3,42962902,0,0,6.8,6.85,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156,736.0,736.0,704.0,458.0,246.0,176.0,139.0,115.0,98.0,207.0,736.0,736.0,Germany,1,0,0,11.8,9811,0,DEU,278.3,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),2.3,DE,DE1,DE11,DE119,18.9,68.5,42822906,0,0,6.9,6.91,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000160,810.0,810.0,769.0,504.0,271.0,194.0,153.0,126.0,108.0,196.0,810.0,810.0,Germany,93,0,0,23.0,9747,0,DEU,341.6,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.8,DE,DE1,DE11,DE118,14.5,174.8,42722910,0,0,7.6,7.97,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000168,693.0,693.0,693.0,421.0,229.0,165.0,130.0,108.0,92.0,211.0,693.0,693.0,Germany,1,0,0,9.86,9907,0,DEU,244.6,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.4,DE,DE1,DE11,DE119,11.2,42.0,42982918,0,0,6.6,6.62,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017a,727.0,727.0,727.0,455.0,243.0,174.0,137.0,113.0,97.0,205.0,727.0,727.0,Germany,79,0,0,15.43,9874,0,DEU,440.7,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),2.6,DE,DE1,DE11,DE11B,24.6,26.3,42922926,0,0,7.5,7.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017b,627.0,627.0,627.0,341.0,198.0,144.0,115.0,95.0,82.0,176.0,627.0,627.0,Germany,3,0,0,24.2,10064,0,DEU,482.7,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),2.2,DE,DE1,DE11,DE11B,18.0,67.9,43202926,0,0,6.8,6.95,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000019d,809.0,809.0,809.0,539.0,277.0,197.0,154.0,127.0,109.0,213.0,809.0,809.0,Germany,169,0,0,21.9,9861,0,DEU,412.4,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),2.2,DE,DE1,DE11,DE11B,23.2,24.5,42902946,0,0,7.5,7.8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bc,596.0,596.0,596.0,539.0,422.0,208.0,147.0,115.0,95.0,118.0,596.0,596.0,Germany,8,0,0,20.3,9458,0,DEU,136.6,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),2.6,DE,DE1,DE12,DE12C,22.7,19.0,42282820,0,0,7.3,7.64,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010c,757.0,757.0,722.0,618.0,401.0,236.0,173.0,138.0,120.0,180.0,757.0,757.0,Germany,2,0,0,12.39,9369,0,DEU,221.7,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.4,DE,DE1,DE12,DE123,11.2,42.7,42142870,0,0,6.2,6.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000091,548.0,548.0,548.0,548.0,536.0,324.0,179.0,129.0,102.0,206.0,548.0,548.0,Germany,116,0,0,34.3,9357,0,DEU,633.7,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),2.7,DE,DE1,DE13,DE135,38.8,60.9,42122800,0,0,7.3,7.63,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,502.0,502.0,502.0,464.0,502.0,369.0,177.0,124.0,97.0,148.0,502.0,502.0,Germany,0,0,0,14.07,9663,0,DEU,100.3,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.4,DE,DE1,DE14,DE147,10.0,39.1,42602746,0,0,4.9,5.24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006c,497.0,497.0,497.0,389.0,497.0,313.0,167.0,119.0,94.0,165.0,497.0,497.0,Germany,0,0,0,18.24,9893,0,DEU,241.1,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.6,DE,DE1,DE14,DE146,12.6,63.6,42962776,0,0,5.9,6.14,"{""type"":""MultiPoint"",""coordinates"":[]}"
