rcasiteid,Gen_lat,Gen_long,SOCstock100
A0108P92,48.85,-122.68,100.113941479444
A0116P90,47.24,-122.08,242.002573229696
A0116P94,47.24,-122.09,293.079581161858
A0116X97,42.49,-113.18,69.735243895192
A0120R93,45.23,-117.07,116.996856229881
A0201F96,35.41,-114.1,29.3874374690865
A0201F99,35.81,-118.07,40.2226513313854
A0204P96,33.56,-117.05,71.3064612644003
A0208P94,37.02,-120.04,21.4537731592135
A0209P89,33.89,-117.05,74.8869858592311
A0209P90,33.15,-116.99,
A0210R87,34.43,-117.37,24.1491694232448
A0215P99,37.31,-120.26,57.107740782807
A0216P99,35.87,-119.36,41.2390055403051
A0218R94,41.2,-121.38,256.531805975518
A0219P96,35.4,-120.57,61.4977526955476
A0220R97,39.49,-120.31,
A0220R98,39.03,-120.13,697.895937083928
A0220R99,35.88,-118.02,2.02756751906708
A0305R90,39.82,-119.75,28.7678293838082
A0305R92,38.86,-119.58,39.9362236072813
A0305R94,39.14,-119.81,20.1301033251195
A0305R97,39.49,-118.74,31.6152711537807
A0306R88,39.59,-119.29,5.43774298133083
A0306R91,40.0,-118.82,4.8360281481923
A0306R92,39.59,-119.36,7.4949981951671
A0306R93,39.33,-118.37,8.89454009989982
A0306R96,39.04,-118.62,3.26743189649091
A0306R99,40.26,-118.77,21.0643131554456
A0801F97,37.91,-111.44,8.95835151367399
A0801R97,33.0,-112.5,14.6636248707313
A0806R89,31.95,-106.43,47.2918484666384
A1011X98,44.18,-96.07,354.801876256166
A1107P95,41.08,-86.24,145.182283924746
A1405F98,34.86,-77.36,3476.04564659964
A1406W90,35.06,-77.61,957.265556418321
A1408F93,35.24,-76.97,206.718227721797
A1408W89,35.0,-77.51,
A1611F58,32.75,-90.43,47.5241237708157
A1611F63,37.82,-92.89,50.7923034656408
A1611F66,32.74,-90.36,55.3414351264351
A1611F81,35.0,-92.38,71.2696244588806
A1611F85,36.73,-92.68,52.502486262211
C0101F01,47.01,-122.77,3805.80164245805
C0101W01,47.59,-122.19,3853.56025572687
C0101W04,46.4,-124.03,
C0101W05,47.1,-124.04,1697.6828951314
C0101W06,43.72,-111.15,719.421015383315
C0101W07,48.0,-122.41,1520.84902158943
C0101W08,46.11,-123.91,3471.12872077236
C0101W09,46.14,-122.99,
C0101W10,46.34,-123.98,1081.66809267881
C0102C01,46.6,-119.04,35.1827171137313
C0102C02,43.46,-116.27,39.6061368550564
C0102C04,47.09,-119.89,19.4781309781455
C0102C05,43.96,-117.1,48.6887768504508
C0102P01,45.91,-119.27,10.1400204440647
C0102P02,43.08,-112.57,38.2677427886284
C0102P03,42.5,-114.52,121.064644935267
C0102P04,42.54,-113.42,23.2539912926829
C0102R01,46.32,-119.58,15.0068538816058
C0102R02,43.35,-116.55,22.4610900595727
C0102R03,46.38,-119.95,21.6561157460906
C0102R08,44.55,-117.15,22.3658425650274
C0102R12,47.59,-118.52,37.024118371385
C0102X02,47.27,-119.12,15.1349858187251
C0103C05,45.98,-120.0,37.8164852964933
C0103C07,45.05,-117.93,78.9386251507411
C0103C08,46.3,-117.09,24.0095500795253
C0103F03,45.01,-123.57,492.386540592771
C0103F04,45.83,-123.57,443.709628905834
C0103P01,44.56,-116.55,78.0673912672072
C0103P02,46.6,-120.68,27.4262376466684
C0103P03,45.82,-120.58,6.65142855163573
C0103P04,44.49,-121.15,28.5883107146932
C0103P05,45.04,-120.36,75.99383189082
C0103R01,45.23,-120.3,25.0445031030194
C0103R02,44.6,-116.79,59.8072427118725
C0103R03,44.84,-116.99,13.9297944580454
C0103R04,44.81,-121.08,15.6900220395522
C0103R05,45.39,-119.42,66.8651374985969
C0103X01,46.38,-117.66,57.6173614718506
C0103X03,47.62,-119.87,64.8370002608586
C0103X04,43.83,-111.44,123.032870394868
C0103X05,44.71,-121.11,20.4309932651019
C0104F01,46.32,-123.29,529.021801343197
C0104F02,45.52,-122.19,393.300079294847
C0104F03,46.8,-124.48,
C0104F04,44.78,-123.94,518.577721419564
C0104F05,47.92,-124.52,620.111955394277
C0104F06,46.37,-123.62,529.862414704894
C0104F07,47.74,-124.26,
C0104F08,45.76,-123.67,453.261809490329
C0104F09,47.9,-124.5,
C0104F10,46.87,-123.77,417.762991790136
C0104P01,46.93,-122.64,344.942305299975
C0104P02,45.85,-122.74,324.121645804261
C0104P03,46.37,-123.79,245.407772377699
C0104P04,47.95,-124.38,
C0104P05,45.83,-122.63,
C0105F01,47.52,-123.08,117.947661747435
C0105F02,46.36,-122.49,155.83623255798
C0105F03,44.19,-122.4,208.944396546595
C0105F04,47.17,-123.34,
C0105F05,47.01,-123.6,
C0105F06,48.31,-121.96,248.852178337571
C0105F07,48.5,-121.97,314.685156121143
C0105F08,47.2,-123.28,228.292639658085
C0105F09,47.66,-124.18,470.86369648596
C0105F10,46.46,-122.36,
C0105F11,46.05,-122.27,181.192223704217
C0106C01,42.52,-114.78,83.6033047547006
C0106C02,42.32,-114.62,69.8918328099464
C0106C03,42.47,-114.85,62.674264505031
C0106C04,42.49,-114.8,57.4076807918821
C0106C05,43.53,-116.35,105.822386236507
C0106F02,48.6,-123.13,72.1908846151757
C0106F03,42.97,-123.84,161.61268652292
C0106F04,48.6,-123.12,148.702454745836
C0106F05,47.43,-120.5,24.6048775357431
C0106F06,44.09,-121.46,25.4798755496813
C0106R01,42.9,-114.29,36.8995752254217
C0106R02,42.42,-114.07,43.2894308151689
C0106R03,46.88,-120.67,11.6992631222774
C0107C01,44.48,-123.25,68.0077946715824
C0107C02,46.59,-117.01,166.094041121263
C0107C03,44.59,-122.91,212.761654393824
C0107C04,44.75,-123.33,192.002214300482
C0107C05,43.74,-111.9,85.6458717629103
C0107C08,46.84,-117.27,208.886903804687
C0107F01,45.76,-122.32,196.402934392542
C0107F02,48.27,-124.65,
C0107F04,45.9,-123.19,91.7812440090383
C0107F05,45.39,-122.43,82.590651489122
C0107F06,46.18,-117.96,180.717824725192
C0107P01,44.78,-123.92,591.529889151118
C0107P02,43.89,-116.71,153.521580820312
C0107P03,46.65,-123.11,188.501127440061
C0107P04,44.35,-113.6,350.705692801971
C0107P05,44.86,-117.92,98.3351297237172
C0107R01,42.46,-113.42,63.3785693826957
C0107R02,42.42,-114.42,96.9311904200964
C0107R03,46.59,-120.78,31.5943875272513
C0107R04,45.7,-119.3,19.4362172896426
C0107R06,43.77,-112.0,119.995270510412
C0107R08,44.57,-114.24,219.350434970863
C0107W01,43.01,-112.59,687.16147866153
C0107W02,43.34,-114.15,184.468215237416
C0107W03,43.66,-111.14,209.214621889968
C0107W04,45.08,-123.32,209.082038639393
C0107W05,43.9,-112.45,91.8456290889427
C0107X01,46.31,-117.77,106.112346737416
C0107X02,46.82,-118.45,45.7520008998306
C0108C02,45.19,-123.13,
C0108C03,44.27,-123.15,
C0108C04,45.17,-122.99,65.1453027894695
C0108C05,48.44,-122.47,153.116711479594
C0108C06,45.03,-122.76,69.8505686361991
C0108F02,46.31,-123.72,568.801728272487
C0108F03,46.92,-122.62,
C0108F04,44.26,-123.0,306.157739333597
C0108F05,47.18,-124.12,
C0108F06,44.26,-123.0,207.888862736465
C0108P02,45.46,-123.85,325.134500513418
C0108P03,47.1,-119.05,81.4804418765042
C0108P04,48.55,-122.34,176.377736295298
C0108R02,46.55,-120.5,30.8128624046732
