OID_,Point_ID,long,lat,Clay,Sand,Silt,pH_CaCl2,pH_H20,EC,OC,CaCO3,P,N,K,LC,LU,NUTS_0,NUTS_1,NUTS_2,NUTS_3,LC0_Desc,LC1_Desc,LU1_Desc
1,26581768,-8.775251839,37.13910423,0,0,0,6.9,7.24,18.14,24.6,34,24.3,2.9,245.6,E20,U111,PT,PT1,PT15,PT150,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
2,26581792,-8.833727843,37.34974664,0,0,0,5.4,5.81,14.81,21.9,0,3.4,2.3,150,D20,U410,PT,PT1,PT15,PT150,Shrubland,Shrubland without tree cover,Abandoned areas
3,26581954,-9.24209186,38.76853116,0,0,0,7,7.29,28.1,18.4,46,56.5,2.1,505.2,E30,U112,PT,PT1,PT17,PT170,Grassland,Spontaneously re-vegetated surfaces,Fallow land
4,26601784,-8.792255364,37.28397193,0,0,0,4.4,5.17,5.37,48,0,5.6,3.3,103.8,D10,U120,PT,PT1,PT15,PT150,Shrubland,Shrubland with sparse tree cover,Forestry
5,26601978,-9.282250124,38.98282746,0,0,0,7.1,7.38,21.6,25.2,0,7.2,2.1,174.6,C10,U120,PT,PT1,PT17,PT170,Woodland,Broadleaved woodland,Forestry
6,26701780,-8.672907268,37.27090711,0,0,0,4.4,5.06,6.69,16.4,0,0,1.9,74.4,D10,U120,PT,PT1,PT15,PT150,Shrubland,Shrubland with sparse tree cover,Forestry
7,26702014,-9.264401983,39.32008061,0,0,0,5.5,5.92,6.08,14.2,0,9.4,1.1,126.8,C10,U120,PT,PT1,PT16,PT16B,Woodland,Broadleaved woodland,Forestry
8,26741814,-8.711708338,37.57816004,0,0,0,4.9,5.64,6.85,16.8,0,28.1,1.7,103.8,E20,U111,PT,PT1,PT18,PT181,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
9,26741986,-9.145973845,39.08451978,0,0,0,7.4,7.95,20.8,8.2,285,14,1.1,240.2,B82,U111,PT,PT1,PT16,PT16B,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens)
10,26761768,-8.578214406,37.17866631,0,0,0,7.1,7.56,18.84,38.9,70,49.2,3.8,645.2,E10,U111,PT,PT1,PT15,PT150,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
11,26761786,-8.621613437,37.33676436,0,0,0,4.3,4.93,4.38,26.3,0,4.2,2,80.4,B75,U111,PT,PT1,PT15,PT150,Cropland,Other fruit trees and berries,Agriculture (excluding fallow land and kitchen gardens)
12,26761804,-8.66529655,37.49479743,0,0,0,4.8,5.49,7.84,18.7,2,5.3,1.4,49.5,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
13,26761864,-8.812989762,38.02110541,0,0,0,4.3,5.25,3.88,6.3,0,0,0.4,56.6,C22,U120,PT,PT1,PT18,PT181,Woodland,Pine dominated coniferous woodland,Forestry
14,26761998,-9.154804085,39.19392373,0,0,0,4.1,4.65,4.11,14.4,0,0,0.6,27.7,C10,U120,PT,PT1,PT16,PT16B,Woodland,Broadleaved woodland,Forestry
